defined_class,count,var1,var1_label,var2,var2_label,var3,var3_label,acs_var_id,acs_label,acs_concept
SRPDIO:2010045,SRPDIO:1000000,SRPDIO:1001179,under 19 years,SRPDIO:1001034,no disability,SRPDIO:1001118,with public health coverage,B18135_011E,Estimate!!Total!!Under 19 years!!No disability!!With health insurance coverage!!With public health coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010046,SRPDIO:1000000,SRPDIO:1001179,under 19 years,SRPDIO:1001034,no disability,SRPDIO:1001116,no health insurance coverage,B18135_012E,Estimate!!Total!!Under 19 years!!No disability!!No health insurance coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010047,SRPDIO:1000000,SRPDIO:1001180,19 to 64 years,SRPDIO:1001001,disability status,SRPDIO:1001020,health insurance coverage,B18135_013E,Estimate!!Total!!19 to 64 years,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010048,SRPDIO:1000000,SRPDIO:1001180,19 to 64 years,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001020,health insurance coverage,B18135_014E,Estimate!!Total!!19 to 64 years!!With a disability,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010049,SRPDIO:1000000,SRPDIO:1001180,19 to 64 years,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001115,with health insurance coverage,B18135_015E,Estimate!!Total!!19 to 64 years!!With a disability!!With health insurance coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010050,SRPDIO:1000000,SRPDIO:1001180,19 to 64 years,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001117,with private health insurance coverage,B18135_016E,Estimate!!Total!!19 to 64 years!!With a disability!!With health insurance coverage!!With private health insurance coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010051,SRPDIO:1000000,SRPDIO:1001180,19 to 64 years,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001118,with public health coverage,B18135_017E,Estimate!!Total!!19 to 64 years!!With a disability!!With health insurance coverage!!With public health coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010052,SRPDIO:1000000,SRPDIO:1001180,19 to 64 years,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001116,no health insurance coverage,B18135_018E,Estimate!!Total!!19 to 64 years!!With a disability!!No health insurance coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010053,SRPDIO:1000000,SRPDIO:1001180,19 to 64 years,SRPDIO:1001034,no disability,SRPDIO:1001020,health insurance coverage,B18135_019E,Estimate!!Total!!19 to 64 years!!No disability,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010054,SRPDIO:1000000,SRPDIO:1001180,19 to 64 years,SRPDIO:1001034,no disability,SRPDIO:1001115,with health insurance coverage,B18135_020E,Estimate!!Total!!19 to 64 years!!No disability!!With health insurance coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010055,SRPDIO:1000000,SRPDIO:1001180,19 to 64 years,SRPDIO:1001034,no disability,SRPDIO:1001117,with private health insurance coverage,B18135_021E,Estimate!!Total!!19 to 64 years!!No disability!!With health insurance coverage!!With private health insurance coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010056,SRPDIO:1000000,SRPDIO:1001180,19 to 64 years,SRPDIO:1001034,no disability,SRPDIO:1001118,with public health coverage,B18135_022E,Estimate!!Total!!19 to 64 years!!No disability!!With health insurance coverage!!With public health coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010057,SRPDIO:1000000,SRPDIO:1001180,19 to 64 years,SRPDIO:1001034,no disability,SRPDIO:1001116,no health insurance coverage,B18135_023E,Estimate!!Total!!19 to 64 years!!No disability!!No health insurance coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010058,SRPDIO:1000000,SRPDIO:1001079,65 years and over,SRPDIO:1001001,disability status,SRPDIO:1001020,health insurance coverage,B18135_024E,Estimate!!Total!!65 years and over,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010059,SRPDIO:1000000,SRPDIO:1001079,65 years and over,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001020,health insurance coverage,B18135_025E,Estimate!!Total!!65 years and over!!With a disability,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010060,SRPDIO:1000000,SRPDIO:1001079,65 years and over,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001115,with health insurance coverage,B18135_026E,Estimate!!Total!!65 years and over!!With a disability!!With health insurance coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010061,SRPDIO:1000000,SRPDIO:1001079,65 years and over,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001117,with private health insurance coverage,B18135_027E,Estimate!!Total!!65 years and over!!With a disability!!With health insurance coverage!!With private health insurance coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010062,SRPDIO:1000000,SRPDIO:1001079,65 years and over,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001118,with public health coverage,B18135_028E,Estimate!!Total!!65 years and over!!With a disability!!With health insurance coverage!!With public health coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010063,SRPDIO:1000000,SRPDIO:1001079,65 years and over,SRPDIO:1001035,with a disability/with any disability,SRPDIO:1001116,no health insurance coverage,B18135_029E,Estimate!!Total!!65 years and over!!With a disability!!No health insurance coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010064,SRPDIO:1000000,SRPDIO:1001079,65 years and over,SRPDIO:1001034,no disability,SRPDIO:1001020,health insurance coverage,B18135_030E,Estimate!!Total!!65 years and over!!No disability,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010065,SRPDIO:1000000,SRPDIO:1001079,65 years and over,SRPDIO:1001034,no disability,SRPDIO:1001115,with health insurance coverage,B18135_031E,Estimate!!Total!!65 years and over!!No disability!!With health insurance coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010066,SRPDIO:1000000,SRPDIO:1001079,65 years and over,SRPDIO:1001034,no disability,SRPDIO:1001117,with private health insurance coverage,B18135_032E,Estimate!!Total!!65 years and over!!No disability!!With health insurance coverage!!With private health insurance coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010067,SRPDIO:1000000,SRPDIO:1001079,65 years and over,SRPDIO:1001034,no disability,SRPDIO:1001118,with public health coverage,B18135_033E,Estimate!!Total!!65 years and over!!No disability!!With health insurance coverage!!With public health coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
SRPDIO:2010068,SRPDIO:1000000,SRPDIO:1001079,65 years and over,SRPDIO:1001034,no disability,SRPDIO:1001116,no health insurance coverage,B18135_034E,Estimate!!Total!!65 years and over!!No disability!!No health insurance coverage,AGE BY DISABILITY STATUS BY HEALTH INSURANCE COVERAGE STATUS
